MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,DIRECTOR,VOTES,RunTime,Gross
Maz Jobrani,2017,"
Comedy            ",6.7,"In this very funny comedy show, Maz mainly focuses on current political environment especially by telling jokes about Donald Trump and his anti-immigrant politics. During the show he talks ...                
","
Maz Jobrani
","
Maz Jobrani",772,112,Not specified
Zac Efron,2009,"
Biography            ",5.4,"Get to know the real Zac Efron with this documentary that journeys to the star's real-life school and hometown, where longtime friends share their insights on the hunky High School Musical ...                
","
Jeff Ballard, 
Zac Efron, 
Vanessa Hudgens, 
Adam Shankman
","
Shara Angell",15,60,Not specified
The Cactus,Not specified,Not specified,Not specified,"An unexpected pregnancy at 45 causes a reserved woman to rethink the structured life she has created for herself and leads her on an unconventional journey toward love, family and learning to embrace the unexpected",Not specified,Not specified,Not specified,Not specified,Not specified
dolo,Not specified,"
Comedy, Drama, Music            ",Not specified,An unconditional fan starts impersonating his new idol following his death.,"
Roger Gual
",Not specified,Not specified,10,Not specified
Nexus,2010,"
Thriller            ",6.7,"Holly is a struggling singer whose life is torn apart when she is accused of her husband's murder. When she discovers that her husband had been smuggling a rare drug called Nexus, she finds herself at the center of a small-town conspiracy.","
Grace Kosaka, 
Andrew Kraulis, 
Jefferson Mappin, 
Nick Alachiotis
","
Neil Coombs",81,81,Not specified
Att dda ett barn,1953,"
Drama, Short            ",7.4,Depicting minutes before and after a child is killed by a car.,"
Gunnar Sjberg, 
Marie-Anne Cond, 
Karl-Erik Forsgrdh, 
Sissi Kaiser
","
Gsta Werner",200,9,Not specified
Mortified Nation,2013,"
Documentary            ",7.3,"Adults share their most embarrassing teenage writings and art in front of total strangers at Mortified stage shows across the country, as the filmmakers explore what the show's popularity says about all of us.","
Jenny Bergman, 
Alexander Burke, 
Cecil Castellucci, 
Tynan DeLong
","
Michael Mayer",991,84,Not specified
Heart of Invictus,2022,"
Documentary, Sport            ",Not specified,"Follow a group of competitors, from around the globe, all service members who have suffered life-changing injuries or illnesses, on their road to the Invictus Games The Hague","
Prince Harry
",Not specified,Not specified,Not specified,Not specified
Sharkey the Bounty Hunter,Not specified,"
Action, Adventure, Drama            ",Not specified,A blue-collar bounty-hunter named Sharkey tracks criminals across the galaxy.,Not specified,Not specified,Not specified,Not specified,Not specified
Sameer,2017,"
Drama            ",5.4,A young engineering student is forced to help authorities find his roommate after the latter is suspected of masterminding a series of bombings.,"
Mohd. Zeeshan Ayyub, 
Master Shubham Bajrange, 
Jay Bhatt, 
Seema Biswas
","
Dakxin Bajrange",224,129,Not specified
Untitled Netflix/My Little Pony Series,Not specified,"
Animation, Adventure, Comedy            ",Not specified,The series will center on the adventures of Sunny Starscout and her friends after the events depicted in the film.,Not specified,Not specified,Not specified,Not specified,Not specified
Untitled Queen Charlotte Project,Not specified,"
Drama, Romance            ",Not specified,The rise and love life of a young Queen Charlotte.,Not specified,Not specified,Not specified,Not specified,Not specified
Valhalla,2013,"
Action, Adventure, Sport            ",7.2,"Valhalla, Sweetgrass Productions' fourth feature film, is the tale of one man's search to rediscover the freedom of his youth. Beyond action sports-- with Valhalla's totally unique style ...                
","
Cody Barnhill, 
Casey Ogle, 
Sierra Quitiquit, 
Alex Monot
","
Ben Sturgulewski, 
Nick Waggoner",212,64,Not specified
Parchs,2019,"
Documentary            ",6.7,"A documentary about the rise and fall of the Spanish children's music group, Parchis.","
Eva Mariol, 
Imma Cabecerans, 
Joaqun Oristrell, 
ngel Arroyo
","
Daniel Arasanz",512,106,Not specified
GameStop,Not specified,"
Documentary            ",Not specified,"A look at the layers on intrigue, from the supercharged power of digital communities to the gamification of trading.",Not specified,Not specified,Not specified,Not specified,Not specified
Thermae Romae Novae,Not specified,"
Animation, Comedy, Fantasy            ",Not specified,"The Roman architect Lucius is transported through time to modern-day Japan, where he learns about Japanese bathhouses and uses this to his gain back home.",Not specified,Not specified,Not specified,Not specified,Not specified
Gary Gulman,2016,"
Comedy            ",7.3,"Stand up topics include extreme laziness, Hitler, and the joys and pitfalls of shopping at Trader Joes","
Gary Gulman
","
Gary Gulman",274,54,Not specified
CCTV,2014,"
Reality-TV            ",Not specified,"The residents of Southampton's 19 council-owned tower blocks are monitored by CCTV 24 hours a day. It is the life on both sides of the lens, meeting both the tenants whose lives are under constant surveillance, and the CCTV operators.",Not specified,Not specified,Not specified,43,Not specified
Days of Disaster,2015,"
Documentary, Drama            ",Not specified,Not specified,"
Remesh Panicker
",Not specified,Not specified,Not specified,Not specified
Far Cry,Not specified,"
Animation, Action, Adventure            ",Not specified,Feature film based on the video game 'Far Cry' in which an a former Special Forces operative tracks down a missing journalist.,Not specified,Not specified,Not specified,Not specified,Not specified
Fuller House Featurette,2016,"
Short            ",8.1,Not specified,"
Twain Taylor
",Not specified,19,Not specified,Not specified
Made in Bangkok,2015,"
Documentary, Comedy, Drama            ",7.2,Morgana is a Mexican transgender opera singer with a dream: a sex reassignment surgery. We follow her odyssey all the way to Bangkok as she fights for the identity she has been struggling all her life to construct.,"
Morganna Love, 
Noa Herrera
","
Flavio Florencio",102,75,Not specified
Ghee Happy,Not specified,"
Animation, Comedy, Family            ",Not specified,A playful reimagining of the Hindu deities as little kids discovering their powers in a deity daycare.,Not specified,Not specified,Not specified,Not specified,Not specified
A Go Go Cory Carson Christmas,2020,"
Animation, Short, Family            ",6.4,"When a familiar stranger shows up with no memory, Cory saves Christmas for everyone by helping him remember the magic of Christmas.","
Ella Joy Ballesteros, 
Maisie Benson, 
Smith Foreman, 
Kerry Gudjohnsen
","
Stanley Moore, 
Alex Woo",37,21,Not specified
Steps,Not specified,"
Animation, Adventure, Comedy            ",Not specified,"Two stepsisters are overlooked for marriage by the prince and embark on an epic journey, realizing that their own perfect fairytales might be different from what they originally thought.","
Alyce Tzue
",Not specified,Not specified,Not specified,Not specified
Chung Cu Ma,2014,"
Comedy, Horror            ",5.6,"When moving to a new apartment, a mother and her 5-year-old son keep being haunted by an angry ghost hiding in a music box.","
Phuong Mai, 
Su Quang, 
Hoang Phuc Nguyen, 
Chi Pu
","
Van M. Pham",129,115,Not specified
Amnesty,Not specified,"
Thriller            ",Not specified,Follows an undocumented migrant who cleans houses who realizes he has information about the sudden murder of one of his employers.,"
Ramin Bahrani
",Not specified,Not specified,Not specified,Not specified
Lostorage incited Wixoss,2016,"
Animation, Drama, Fantasy            ",5.6,"High school student Homura Suzuko has returned to Ikebukuro, the town where she grew up. ""We're friends forever!"" She treasures her memories of her old friend from when she was little, ...                
","
Chinami Hashimoto, 
Yuka Iguchi, 
Kana Asumi, 
Saori Got
",Not specified,39,24,Not specified
Fukrey Boyzzz,2019,"
Comedy            ",Not specified,Not specified,"
Viraaj Modgill, 
Pooja Punjabi, 
Jasleen Singh
",Not specified,Not specified,Not specified,Not specified
Turn It Up,2014,"
Documentary            ",7.4,"A celebration of the electric guitar, hosted by Kevin Bacon and featuring interviews & performances by B.B. King, Slash, Les Paul, Robby Krieger, John 5, Paul Stanley, Skunk Baxter, Jerry Cantrell, Nancy Wilson, and many more.","
Johnny A., 
Russell Ali, 
Kevin Bacon, 
Jeffrey Baxter
","
Robert Radler",61,86,Not specified
Russell Peters Versus the World,2013,"
Documentary, Comedy            ",5.5,"A four-part docu-series that's an exclusive, backstage pass to global comedy superstar Russell Peters' record breaking ""Notorious"" wold tour.","
Russell Peters, 
Matt Schichter
",Not specified,213,120,Not specified
The Outlaw Ocean,Not specified,"
Action, Adventure, Crime            ",Not specified,A vigilante crew hunts down illegal poachers at sea.,Not specified,Not specified,Not specified,Not specified,Not specified
S.T.R.O.N.G.,2016,"
Game-Show, Reality-TV            ",7.3,"NBC's ""STRONG"" is a competition show like no other. Contestants are embarking on a transformative journey in order to reach their full potential. As they will learn, it's not necessarily ...                
","
Gabrielle Reece
",Not specified,59,Not specified,Not specified
The Truth Is in the Stars,2017,"
Documentary            ",6.7,"William Shatner sits down with scientists, innovators and celebrities to discuss how the optimism of ""Star Trek"" influenced multiple generations.","
William Shatner, 
Ben Stiller, 
Tracy Drain, 
Emily Lakdawalla
","
J. Craig Thompson",389,86,Not specified
Pokmon,Not specified,"
Action, Adventure, Comedy            ",Not specified,Plot under wraps. Adaptation of the Anime series.,Not specified,Not specified,Not specified,Not specified,Not specified
UPrince,2016,"
Romance            ",8.5,"Sung dreams of making Kiran, from the comm-arts department, her boyfriend. Until one day, Sung was hit by a tricycle and made a promise with the god of death. The god of death sent her back...                
","
Korawit Boonsri, 
Phumphothingam Nawat, 
Sananthachat Thanapatpisal
",Not specified,22,Not specified,Not specified
Novatos,2015,"
Drama            ",4.8,"Hazing (Novatos) a feature film based on the director's true story. The story of Alex, a fresher who rejects hazing, and Carla, a fresher who doesn't care too much about it. Between them, ...                
","
Nicols Coronado, 
Javier Butler, 
Luca Ramos, 
Alejandra Onieva
","
Pablo Arags",257,92,Not specified
The Panama Papers,2016,"
Documentary, Short            ",7.6,"A German newspaper journalist Bastian Obermayer, through his anonymous source, leaks the information of how many famous individuals around the world hide their money in order to avoid taxes.","
Sarah Ferguson
",Not specified,9,43,Not specified
The Land of College Prophets,2005,"
Action, Fantasy, Horror            ",3.5,"Two belligerent college students accidently reactivate a toxic wishing well, setting off a series of events that brings havoc to a small community.","
Thomas Edward Seymour, 
Philip Guerette, 
Russ Russo, 
Tina Angelillo
","
Mike Aransky, 
Philip Guerette, 
Thomas Edward Seymour",229,83,Not specified
Fix Us,2019,"
Comedy            ",Not specified,Three young ladies take us on a journey of faith and fate.,"
Alexandra Amon, 
Michelle Attoh, 
Tobi Bakre, 
Mofe Duncan
","
Pascal Amanfo",Not specified,Not specified,Not specified
The Red Zone,Not specified,"
Comedy            ",Not specified,"Friendship, trust and families, in a world where no one is actually your friend, where there is zero trust and where families tend to devour each other every six months.",Not specified,Not specified,Not specified,Not specified,Not specified
Decoding Deepak,2012,"
Documentary            ",5.5,"Deepak Chopra's son, Gotham, spends a year traveling with this father in an attempt to resolve the spiritual icon he is to the world with the man known to his family.","
Deepak Chopra, 
Gotham Chopra
","
Gotham Chopra",124,83,$0.01M
Midnight Misadventures with Mallika Dua,2018,"
Comedy            ",3.5,"She is confident, innately kind, privileged, misinformed, graceful, unapologetic, well dressed and glamorous. Her style is on point, money beyond belief. You must be wondering if it's even ...                
","
Radhika Apte, 
Tanmay Bhat, 
Mallika Dua, 
Vicky Kaushal
",Not specified,22,Not specified,Not specified
Dou Yu,2004,"
Drama, Romance            ",7.4,"Story revolves around three sworn brothers namely Yu Hao, Shan Zi and Yang Xiong Qi. They are delinquents, fighting to gain what they want, though they have never officially joined any ...                
","
Dylan Kuo, 
Ady An, 
Blue Cheng-Lung Lan, 
Michael Chang
",Not specified,33,Not specified,Not specified
